cycle,health_score,fault_confidence,anomaly_score,temperature,oil_pressure,vibration,rul_target
150,91,0.05,0.05,76,76,1.5,850
650,36,0.74,0.74,97,49,4.4,350
800,12,0.95,0.95,103,40,5.6,200
750,20,0.9,0.9,101,43,5.2,250
550,51,0.56,0.56,93,55,3.6,450
100,94,0.03,0.03,74,78,1.4,900
450,64,0.38,0.38,89,61,3.0,550
850,5,0.99,0.99,105,37,6.0,150
200,88,0.08,0.08,78,74,1.7,800
600,44,0.65,0.65,95,52,4.0,400
350,75,0.22,0.22,85,67,2.4,650
500,58,0.47,0.47,91,58,3.3,500
700,28,0.83,0.83,99,46,4.8,300
300,80,0.16,0.16,83,70,2.1,700
